filename,width,height,class,xmin,ymin,xmax,ymax
digitalemupis0,1366,912,board,261,177,480,738
digitalemupis1,400,150,board,175,1,222,114
digitalemupis10,1366,912,board,739,212,974,834
digitalemupis11,499,323,board,216,90,280,257
digitalemupis12,600,400,board,404,128,475,291
digitalemupis13,1366,911,board,452,283,631,697
digitalemupis14,1024,576,board,123,153,239,412
digitalemupis15,1864,1050,board,1186,44,1567,1049
digitalemupis16,1280,720,board,533,40,809,623
digitalemupis17,1366,909,board,467,202,713,788
digitalemupis18,1366,909,board,502,188,733,665
digitalemupis19,1366,911,board,897,404,1071,760
digitalemupis2,550,733,board,208,252,375,623
digitalemupis3,606,408,board,64,9,243,388
digitalemupis4,0,0,board,146,2,317,400
digitalemupis5,0,0,board,226,100,432,543
digitalemupis6,408,176,board,103,8,175,156
digitalemupis7,400,150,board,258,32,311,144
digitalemupis8,499,323,board,144,62,223,251
digitalemupis9,1366,911,board,34,105,253,454
