filename,width,height,class,xmin,ymin,xmax,ymax
driehoeksbordenreclame0,1024,622,board,293,140,539,569
driehoeksbordenreclame1,1920,1406,board,205,18,733,1406
driehoeksbordenreclame10,800,536,board,213,66,390,489
driehoeksbordenreclame11,260,177,board,74,1,180,176
driehoeksbordenreclame12,345,255,board,110,1,268,253
driehoeksbordenreclame13,550,363,board,49,71,201,351
driehoeksbordenreclame14,816,459,board,468,1,745,459
driehoeksbordenreclame15,960,1280,board,400,333,686,1008
driehoeksbordenreclame16,239,158,board,141,14,200,147
driehoeksbordenreclame17,1024,579,board,15,1,390,579
driehoeksbordenreclame18,314,464,board,60,3,260,443
driehoeksbordenreclame19,722,542,board,433,143,610,469
driehoeksbordenreclame2,1170,380,board,274,1,502,380
driehoeksbordenreclame20,239,158,board,79,13,123,129
driehoeksbordenreclame21,661,332,board,358,25,529,329
driehoeksbordenreclame22,239,158,board,133,5,190,150
driehoeksbordenreclame23,694,390,board,111,1,376,390
driehoeksbordenreclame24,0,0,board,189,58,221,133
driehoeksbordenreclame25,650,433,board,182,1,327,244
driehoeksbordenreclame26,1200,480,board,671,2,883,480
driehoeksbordenreclame27,600,800,board,105,187,430,733
driehoeksbordenreclame28,540,300,board,135,7,305,290
driehoeksbordenreclame29,239,158,board,164,22,214,141
driehoeksbordenreclame3,2461,1720,board,724,71,1411,1617
driehoeksbordenreclame30,239,158,board,52,3,124,146
driehoeksbordenreclame31,1200,803,board,509,134,729,687
driehoeksbordenreclame32,862,395,board,263,29,430,393
driehoeksbordenreclame33,645,279,board,342,1,482,273
driehoeksbordenreclame34,1024,579,board,30,39,361,570
driehoeksbordenreclame35,239,158,board,77,13,125,145
driehoeksbordenreclame36,1920,1440,board,204,549,700,1434
driehoeksbordenreclame37,645,279,board,187,2,389,279
driehoeksbordenreclame38,239,158,board,112,14,169,137
driehoeksbordenreclame39,0,0,board,1003,150,1442,929
driehoeksbordenreclame39,0,0,board,693,393,770,545
driehoeksbordenreclame4,516,164,board,208,1,308,164
driehoeksbordenreclame40,239,158,board,80,30,127,112
driehoeksbordenreclame41,1280,853,board,820,61,1072,724
driehoeksbordenreclame42,645,279,board,480,8,610,266
driehoeksbordenreclame43,550,419,board,142,60,334,324
driehoeksbordenreclame44,550,367,board,197,44,341,340
driehoeksbordenreclame45,1280,542,board,620,35,846,540
driehoeksbordenreclame46,550,413,board,160,1,397,411
driehoeksbordenreclame47,645,279,board,131,1,314,279
driehoeksbordenreclame48,239,158,board,158,20,211,145
driehoeksbordenreclame49,239,158,board,79,13,124,115
driehoeksbordenreclame5,1200,751,board,436,158,771,701
driehoeksbordenreclame50,645,279,board,351,42,425,199
driehoeksbordenreclame51,1200,802,board,498,129,752,685
driehoeksbordenreclame52,239,158,board,94,13,165,147
driehoeksbordenreclame53,500,500,board,204,62,429,489
driehoeksbordenreclame54,1280,853,board,635,98,1059,853
driehoeksbordenreclame55,715,408,board,301,28,518,386
driehoeksbordenreclame56,2000,1200,board,195,250,532,791
driehoeksbordenreclame57,1000,750,board,482,198,738,576
driehoeksbordenreclame58,300,151,board,104,20,127,59
driehoeksbordenreclame58,300,151,board,191,62,233,123
driehoeksbordenreclame58,300,151,board,236,64,281,123
driehoeksbordenreclame59,1080,1319,board,568,1,1046,980
driehoeksbordenreclame6,550,423,board,292,65,482,421
driehoeksbordenreclame60,239,158,board,58,22,112,142
driehoeksbordenreclame61,300,200,board,162,6,252,181
driehoeksbordenreclame62,1024,683,board,567,79,833,638
driehoeksbordenreclame63,540,300,board,224,62,328,232
driehoeksbordenreclame64,722,542,board,253,48,499,459
driehoeksbordenreclame66,0,0,board,280,24,506,499
driehoeksbordenreclame67,645,279,board,291,1,412,246
driehoeksbordenreclame68,1024,579,board,632,1,985,579
driehoeksbordenreclame69,694,452,board,231,22,533,256
driehoeksbordenreclame7,661,332,board,491,75,596,247
driehoeksbordenreclame70,640,480,board,395,46,603,392
driehoeksbordenreclame72,550,377,board,399,102,504,347
driehoeksbordenreclame73,1280,853,board,625,252,822,579
driehoeksbordenreclame73,1280,853,board,893,302,1117,669
driehoeksbordenreclame73,1280,853,board,517,329,591,460
driehoeksbordenreclame73,1280,853,board,270,375,372,502
driehoeksbordenreclame73,1280,853,board,267,305,372,375
driehoeksbordenreclame74,0,0,board,66,7,172,184
driehoeksbordenreclame75,0,0,board,293,1,473,300
driehoeksbordenreclame76,800,450,board,238,106,346,254
driehoeksbordenreclame76,800,450,board,128,106,211,218
driehoeksbordenreclame76,800,450,board,423,103,572,304
driehoeksbordenreclame76,800,450,board,591,40,800,426
driehoeksbordenreclame77,900,758,board,225,218,525,681
driehoeksbordenreclame8,450,600,board,37,1,360,536
driehoeksbordenreclame9,0,0,board,64,67,153,266
